Entry	Entry Name
P04404	CMGA_PIG
P04810	HSP83_DROSI
P04811	HSP83_DROVI
P05128	KPCG_BOVIN
P05207	KAP2_PIG
P05889	GAG_HV1W2
P05960	POL_HV1C4
P06346	HB2F_MOUSE
P06442	POLG_HAVCR
P06814	CAN2_RABIT
P06815	CAN1_RABIT
P07156	HMGB1_CRIGR
P08460	NID1_RAT
P09011	MIP_RAT
P09732	POLG_STEVM
P0C195	CM3A_CONKI
P0C1D0	CA1A_CONRE
P0C2D1	OXLA_BOTPI
P0C2D4	OXLA_NAJKA
P0C2D7	OXLA_VIPBB
P0C2S4	GUND_ACETH
P0C2W5	GBRB2_BOVIN
P0C577	VSPG_BITGA
P0C5E3	PALLD_RAT
P0C6E8	VM3G1_TRIGA
P0C6R9	VM3A_BOTAL
P0C7B1	VM3BG_BOTAL
P0CC16	OXLA_AGKCL
P0CE82	A1HB2_LOXIN
P0CE84	A1IA2_LOXIN
P0CH24	CA1_CONAH
P0CH38	FBSP1_RAT
P0CT33	TLH1_SCHPO
P0CY66	O168_CONBU
P0DI88	OXLA_BOTJA
P0DI89	OXLA_BOTLC
P0DI90	OXLA2_DABRR
P0DI91	OXLA_NAJOX
P0DJ42	VM1CR_CROAT
P0DJ43	VM3_MICIK
P0DJ44	VM3_VIPAA
P0DJE1	VM1B1_BOTAT
P0DJE2	VM3A_VIPAA
P0DJF0	VSP48_BOTJR
P0DJG3	VSP1_BOTAN
P0DJG7	VSP2_DEIAC
P0DJH3	VMP3A_DEIAC
P0DJH5	VM3DM_DABSI
P0DJJ6	VM1B_BOTLC
P0DKZ0	CKR1B_CONRO
P0DL26	VSP27_BOTPI
P0DL27	VSP41_BOTPI
P0DL29	VM1_BOTPI
P0DM51	PA2B1_BOTPA
P0DMB6	PA11_VESVE
P0DMB7	PA12A_VESVE
P0DMB8	PA12B_VESVE
P0DPS3	VASP1_VIPAA
P0DQD1	PLA2_WALAE
P0DQH9	OXLAB_CERCE
P0DQP9	PA2B1_BOTBZ
P0DRC8	VM1_MACLN
P0DTM5	ENV_RSVSA
P0DUG4	PA2TI_NAJHH
P0DUN0	PA23_BOTHY
P0DUN3	PA2A1_BOTBZ
P0DUN4	PA2A2_BOTBZ
P0DUN5	PA2_BOTBS
P0DV78	OXLA2_BOTJR
P11280	COLI_NEOVI
P11960	ODBA_RAT
P12105	CO3A1_CHICK
P12300	GLGL3_WHEAT
P12343	AATC_RABIT
P12478	NEF_HV1Z2
P12498	POL_HV1J3
P13387	EGFR_CHICK
P13750	1B01_PANTR
P13838	LEUK_RAT
P13888	POLN_RRVT
P14403	POLG_JAEVN
P14411	PA2BA_BUNFA
P14422	PA2GA_RABIT
P14428	HA1Q_MOUSE
P14431	HA19_MOUSE
P14438	HA2U_MOUSE
P14683	CLUS_MESAU
P16212	HLAE_PONPY
P16293	FA9_PIG
P17347	VM2EA_ECHCS
P17571	NIA1_MAIZE
P18356	POLG_DEN2U
P18651	FGF1_CANLF
P19026	CDC21_PEA
P20002	FGF1_PIG
P20063	LDLR_RABIT
P20234	POLG_OMV
P20305	GELS_PIG
P21252	COLI_LOXAF
P22687	CETP_RABIT
P23097	MMP13_RAT
P23150	HA2J_MOUSE
P24856	ANP_NOTNE
P24923	CDC21_MEDSA
P25220	POLS_IBDVP
P26634	EGR2_CERTH
P27158	KITH_RAT
P27443	MAOM_ASCSU
P27596	ANF_CAVPO
P27912	POLG_DEN1A
P27913	POLG_DEN1C
P27914	POLG_DEN2T
P27954	POLG_HCVE1
P27955	POLG_HCVH7
P27956	POLG_HCVH8
P27957	POLG_HCVTH
P27959	POLG_HCVJ2
P27960	POLG_HCVJ5
P27961	POLG_HCVJ7
P29165	POLG_YEFV8
P29183	LIPP_HORSE
P29216	A4_MACMU
P29321	EPHA8_RAT
P30026	POLG_DEN2D
P30122	CEL_BOVIN
P30124	HEM2_PEA
P30431	VM3JA_BOTJA
P30930	LCAT_PIG
P31287	WNT6_XENLA
P31503	PO2F1_RAT
P31669	PARP1_XENLA
P31788	POLG_HAVSC
P32362	DCUP_RAT
P32649	VIP_RABIT
P33198	IDHP_PIG
P33266	CP2E1_MACFA
P33433	HRG_BOVIN
P34935	BIP_PIG
P35547	GCR_SHEEP
P37142	AKH_DAUCA
P38551	TGFR2_PIG
P41694	IGF2_NEOVI
P48799	FGF2_RABIT
P48820	RBP2_BOVIN
P48829	ZP2_RABIT
P48833	ZP3_RABIT
P49136	MAPK2_CRILO
P49139	MAPK2_RABIT
P49274	AMY_DERPT
P49699	ANDR_RABIT
P49743	RXRB_RAT
P49885	ESR1_SHEEP
P49886	ESR1_MACMU
P49953	WT1_SMIMA
P50902	WT1_ALLMI
P50983	CA1_CONIM
P51640	G3P_MESAU
P51743	TNFA_CEREL
P51952	CDK7_RAT
P52307	5NTD_RHIMP
P52649	CY24B_PIG
P52949	HXA5_RAT
P52953	MSX2_RAT
P53534	PYGB_RAT
P53590	SUCB2_PIG
P53710	ITA2_BOVIN
P55156	MTP_BOVIN
P55232	GLGS_BETVU
P55736	BLVRB_AQUCT
P59722	EGLN1_RAT
P59890	H2A_HIPHI
P60043	PA2B1_NAJSG
P60044	PA2A2_NAJSG
P61584	ROCK1_PANTR
P61798	APTX_CHICK
P69502	A1XA_LOXGA
P69735	RB3GP_RAT
P70486	ATRX_RAT
P70619	GSHR_RAT
P70685	G3P_CAVPO
P79801	PSN2_MICMU
P79892	P53_HORSE
P80012	VWF_BOVIN
P80225	B4GT1_RAT
P80236	RAC1_CAVPO
P80571	DEFI_MYTGA
P81036	SODC_LAMCR
P81123	KC1D_RABIT
P81140	GCDH_PIG
P81375	OXLA_MACLB
P81563	MMP1_RAT
P81747	ADHN_RHOER
P81903	H2B1_ICTPU
P82679	MMKMO_RHOER
P82798	ATRX_NOTEU
P83238	OSTCN_DANRE
P83268	IF2A_RABIT
P83581	HS74L_RAT
P83654	ERVC1_TABDI
P83686	NB5R3_PIG
P83863	H2B_PENVA
P84035	VM3BA_BOTAS
P84109	SRBS1_RAT
P84736	PA2_TRILM
P85051	DYR1A_RABIT
P85136	CARDE_CYNCA
P85137	CARDF_CYNCA
P85138	CARDG_CYNCA
P85139	CARDH_CYNCA
P85975	VMPAR_HIPPR
P86092	VM3LB_BOTLC
P86195	KAD1_MESAU
P86206	CH60_MESAU
P86215	PRDX6_MESAU
P86252	PURA_RAT
P86312	OSTCN_CAMHE
P86327	LACC2_CERUI
P86328	LACC1_CERUI
P86516	CBP1_SABMA
P86523	PA2AA_ACAAN
P86535	OXLA1_DABRR
P86780	PA2_BUNCI
P93157	ANX1_GOSHI
P93198	2SS_JUGRE
P97266	OPRM_CAVPO
P97603	NEO1_RAT
P97607	JAG2_RAT
P98093	CO3_ONCMY
Q00081	GLGL1_SOLTU
Q01403	POLG_HCVHK
Q01404	POLG_HCVH4
Q01635	LAMB1_CHICK
Q01681	POLG_PPVEA
Q02020	FIBB_CHICK
Q02315	CP51_PICKU
Q03297	PER_DROWI
Q03355	PER_DROSI
Q05028	PDGFB_RAT
Q05688	IGF1R_BOVIN
Q05794	POLG_HAVHA
Q07192	MP2K2_XENLA
Q07494	EPHB1_CHICK
Q07498	EPHB3_CHICK
Q07598	SCP2_CHICK
Q07722	PLCB4_BOVIN
Q08279	IGF2_CAVPO
Q08824	PARP1_ONCMA
Q09136	AAPK1_PIG
Q1L777	CA1A_CONPR
Q1PHZ4	VM3B1_BOTJR
Q28265	KCMA1_CANLF
Q28275	FINC_CANLF
Q28280	A4_CANLF
Q28284	CD44_CANLF
Q28553	CXCR4_SHEEP
Q28554	G3P_SHEEP
Q28640	HRG_RABIT
Q28661	PROC_RABIT
Q28748	A4_RABIT
Q28749	FINC_RABIT
Q28757	A4_SHEEP
Q28758	APOA4_PAPAN
Q28832	LDLR_PIG
Q28833	VWF_PIG
Q28858	CSPG2_MACNE
Q28901	F263_BOVIN
Q28995	APOE_SAISC
Q29149	A4_URSMA
Q29238	CLIC1_PIG
Q29480	P53_EQUAS
Q33884	CCMF2_ARATH
Q43843	RPE_SOLTU
Q4F867	OXLA_DABSI
Q4ZFU2	A1LB1_LOXAR
Q5EE04	TPR_XENLA
Q5EG65	POLG_HCVGL
Q5G290	PA2A6_NAJSG
Q5G291	PA2A5_NAJSG
Q5R1W1	SEPT7_PANTR
Q5RDH5	AAPK1_PONAB
Q60487	FGF2_CAVPO
Q60524	MDM2_MESAU
Q60529	RASH_MESAU
Q62635	MUC2_RAT
Q62774	MYO1A_RAT
Q62809	NOGG_RAT
Q62935	VWF_RAT
Q63619	COQ7_RAT
Q63648	MERL_RAT
Q63688	CP7B1_RAT
Q63862	MYH11_RAT
Q64201	OTX2_RAT
Q64202	DLX1_RAT
Q64204	DLX2_RAT
Q64531	HPRT_MUSSP
Q64662	P53_OTOBE
Q698K8	VM2L4_GLOBR
Q6DPK2	NRAM_I02A1
Q6DPQ7	M2_I02A7
Q6DPU3	M2_I02A1
Q6H9K0	PGLR2_PLAAC
Q6I6M7	FGF1_CYNPY
Q6RET6	CCAMK_PEA
Q6RY98	SRTXL_ATRMM
Q6SLM0	PA2B3_BUNCE
Q6SLM1	PA2B5_BUNCE
Q6SLM2	PA2A1_BUNCE
Q6T179	PA2A4_NAJSG
Q6T271	VM2BI_BITGA
Q6TGQ9	OXLA1_BOTJR
Q70US9	VOLK_ADEVO
Q7SIF8	FGF1_NOTVI
Q7T1M3	BNP_BOTJR
Q7T1T4	VM1B2_BOTJR
Q7T3T5	PA2AB_DABSI
Q7YR25	ABC3G_CHLAE
Q811C4	DLDH_MESAU
Q8CFM6	STAB2_RAT
Q8GZP6	ANAO2_ANAOC
Q8K4G6	MACD1_RAT
Q8MIT6	ROCK1_BOVIN
Q90955	TEBP_CHICK
Q90WC0	VM2HS_GLOBR
Q91009	NTRK1_CHICK
Q91447	MP2K1_SERCA
Q91736	EPB1B_XENLA
Q91ZP6	NFIP2_MOUSE
Q92108	ANXA1_CHICK
Q95167	KCNB2_CANLF
Q95332	BHMT1_PIG
Q969B0	KIN13_GIAIN
Q98930	SORL_CHICK
Q99285	H2B_PEA
Q99P96	HDAC7_RAT
Q9AWB2	SIR_SOYBN
Q9DDD0	NRX1A_CHICK
Q9EPI1	XYLT1_RAT
Q9EPQ0	NCKX3_RAT
Q9EPU2	NCOA3_RAT
Q9ERA9	TOR1A_CRICR
Q9ERB4	CSPG2_RAT
Q9ESP7	ATS4_RAT
Q9FY35	PRR3_HESAR
Q9GKX2	DHRS4_RABIT
Q9GL10	ACRO_SHEEP
Q9IAC6	MCR_ONCMY
Q9JI55	PLEC_CRIGR
Q9JLI4	NCOA6_RAT
Q9N0Z4	AT11B_RABIT
Q9N1S8	FGF1_CAPCA
Q9PRP4	VSPF_LACMR
Q9PTA1	PA2BA_BUNMU
Q9PVF0	PA2AB_CALRH
Q9PVF1	PA2AA_CALRH
Q9QPN3	NEF_HV1LA
Q9QYP2	CELR2_RAT
Q9R168	SFRP1_RAT
Q9RDT3	WALK_STAAU
Q9SPL3	AMP23_MACIN
Q9TU09	LEP_HORSE
Q9TU23	CE290_BOVIN
Q9URQ0	ALS2_CANAX
Q9WUB5	NCOR1_RAT
Q9WVC1	SLIT2_RAT
Q9YGD2	SUCA_COLLI
Q9YI37	SUCB1_COLLI
Q9Z1C7	RPGF4_RAT
Q9Z2J9	RUNX2_RAT
U3KRF8	SGSL_TRIAN
W8EFS0	V5NTD_MACLB
X2L4E2	OXLA_BOTPC
A0A024BTN9	OXLA_BOTSC
A0A068B0Z6	CA13B_CONLT
A0A0S1TP26	C76H2_SALPM
A0A1C9ZP88	LP9A_GLOTR
A0A1X9IRP7	CPS2_ISORU
A0A1X9ISN9	CPS5_ISORU
A0A1X9ISP7	KSL2_ISORU
A0A2I4HXH5	V5NTD_NAJAT
A0A345BJQ0	CLZ20_COCLU
A0A3G1QTU5	CPS3_ISOER
A0A3G6IHA6	O16A_CONAD
A0A4Y5X1A7	CESS3_CONMO
A0A6M3Z554	TX11A_TETBN
A0SPI0	MASTC_VESMG
A0ZSF4	MAP1_MIZYE
A0ZSF6	MAC1_CRANI
A0ZSF7	MAC2_CRANI
A1IVR8	3L21_BUNCA
A1X8D8	CA12_CONPL
A2EF58	PFP3_TRIV3
A2SY66	VICHY_VICSN
A3M072	LONM_PICST
A5DCV3	RPB1_PICGU
A5JTQ2	XYL1_MEDSV
A7TUG9	HEXA_DOTSE
A8C8J5	M2_I07A0
A8JAM0	DRC7_CHLRE
A8QL48	VM3_BUNFA
A8QL58	OXLA_NAJAT
A8WH69	PRC3A_XENLA
B1NRQ8	CYVE_VIOBI
B2KKV7	A1IB2_LOXIN
B2KKV8	A1IA3_LOXIN
B2LSD2	MUCIN_MUCPR
B3A0L4	LAC1_HERCO
B3A0N1	VPA_BOTAT
B3EWG2	LACC_LEPMG
B3EWP2	HYAL_CRODU
B3EWP3	DEF1_ARAHY
B3EWP4	DEF2_ARAHY
B3EWR5	HEXL_LUPAL
B3KYH4	TPA_PELSA
B3KYH6	TPC_PELSA
B9W4V8	APO1_COPRA
C0HJB2	LAC_SANBA
C0HJF7	ITR1_JATCU
C0HJN7	CO1A1_TAPTE
C0HJP5	CO1A1_MACSX
C0HJP7	CO1A1_TOXSP
C0HJP9	PLA23_BOTDP
C0HJT8	HBA_DISEL
C0HJU2	VM11_BOTPA
C0HJW7	MANA_LABPU
C0HJY2	PRVN_THEPV
C0HJZ2	HBA_SOMMI
C0HJZ3	HBB1_SOMMI
C0HJZ4	HBB2_SOMMI
C0HJZ5	HBB3_SOMMI
C0HK14	LEC_MORIN
C0HKC5	CBP2_MOROL
C0HKQ3	KTI1_INGVE
C0HL97	VM3_CROVE
C0HLA3	VSP4_LACMR
C0HLG9	CO1A1_BRAVA
C0HLH5	CO1A1_NEODO
C0HLI1	CO1A1_DOESX
C0HLI5	CO1A1_SCESX
C0HLJ9	CO1A1_PARHA
C0HLV0	GUN1_FOMML
C0HM15	SCX2_CENHU
C0HM16	SCX3_CENHU
C0HM17	SCX4_CENHU
C0HM18	SCX5_CENHU
C0HM79	PA2B1_AGKPL
C0JAQ5	A1IA1_LOXHI
C0JAQ8	A1IA2_LOXHI
C0JAQ9	A1IA3_LOXHI
C0JAR0	A1IA4_LOXHI
C0JAR2	A1IA5_LOXHI
C0JAR3	A1IA6_LOXHI
C0JAR7	A1IA7_LOXHI
C0JAR8	A1IA8_LOXHI
C0JAR9	A1IB1_LOXHI
C0JAS0	A1IB2_LOXHI
C0JAS1	A1IB3_LOXHI
C0JAS2	A1IB4_LOXHI
C0JAS3	A1IB5_LOXHI
C0JAS4	A1IB6_LOXHI
C0JAS6	A1I1_LOXSP
C0JAS7	A1I2_LOXSP
C0JAS8	A1I3_LOXSP
C0JAT3	A1I4_LOXSP
C0JAT4	A1H1_LOXHI
C0JAT5	A1H2_LOXHI
C0JAT6	A1H3_LOXHI
C0JAT8	A1H4_LOXHI
C0JAT9	A1H1_LOXSP
C0JAU1	A1H2_LOXSP
C0JAU2	A1H3_LOXSP
C0JAU3	A1L_LOXAP
C0JAU4	A1LB2_LOXAR
C0JAU5	A1L_LOXDE
C0JAU6	A1LC_LOXAR
C0JAU7	A1L1_LOXSA
C0JAU8	A1L2_LOXSA
C0JAU9	A1L3_LOXSA
C0JAV0	A1KA2_LOXAR
C0JAV1	A1KA3_LOXAR
C0JAV2	A1KA4_LOXAR
C0JAV3	A1KA1_LOXAP
C0JAV4	A1KA2_LOXAP
C0JAV5	A1KA3_LOXAP
C0JAV6	A1KA4_LOXAP
C0JAV7	A1KC_LOXAP
C0JAV8	A1KB1_LOXAP
C0JAV9	A1KB2_LOXAP
C0JAW0	A1KB_LOXAR
C0JAW2	A1KB3_LOXAP
C0JAW3	A1KC_LOXAR
C0JAW4	A1KB1_LOXDE
C0JAW5	A1KB2_LOXDE
C0JAW6	A1KA1_LOXDE
C0JAW7	A1KA2_LOXDE
C0JAW8	A1KA3_LOXDE
C0JAW9	A1KA4_LOXDE
C0JAX0	A1KA5_LOXDE
C0JAX1	A1KA6_LOXDE
C0JAX2	A1MB_LOXDE
C0JAX3	A1MA1_LOXDE
C0JAX4	A1MA2_LOXDE
C0JAX5	A1MA3_LOXDE
C0JAX7	A1MA4_LOXDE
C0JAX9	A1MA5_LOXDE
C0JAY0	A1MA6_LOXDE
C0JAY1	A1KA1_LOXSA
C0JAY2	A1KB1_LOXSA
C0JAY3	A1KB2_LOXSA
C0JAY4	A1KA2_LOXSA
C0JAY5	A1KA3_LOXSA
C0JAY8	A1KA4_LOXSA
C0JAY9	A1KA5_LOXSA
C0JAZ0	A1KA6_LOXSA
C0JAZ1	A1OA1_LOXVA
C0JAZ2	A1OA2_LOXVA
C0JAZ3	A1OA3_LOXVA
C0JAZ4	A1OB1_LOXVA
C0JAZ5	A1OB2_LOXVA
C0JAZ6	A1OB3_LOXVA
C0JAZ7	A1OB4_LOXVA
C0JAZ8	A1OB5_LOXVA
C0JAZ9	A1O_LOXAM
C0JB00	A1OB_LOXRU
C0JB01	A1OC_LOXRU
C0JB02	A1OD_LOXRU
C0JB03	A1OA_LOXRU
C0JB04	A1P_LOXRU
C0JB05	A21_LOXSP
C0JB06	A21_LOXVA
C0JB07	A21_LOXAP
C0JB08	A21_LOXAR
C0JB09	A31_LOXAR
C0JB10	A311_LOXS4
C0JB11	A312_LOXS4
C0JB12	A332_LOXLA
C0JB13	A333_LOXLA
C0JB14	A411_LOXHI
C0JB15	A412_LOXHI
C0JB16	A413_LOXHI
C0JB17	A42_LOXHI
C0JB18	A411_LOXAM
C0JB19	A412_LOXAM
C0JB20	A413_LOXAM
C0JB21	A41_LOXRU
C0JB22	A41_LOXAR
C0JB23	A411_LOXLA
C0JB24	A412_LOXLA
C0JB25	A421_LOXLA
C0JB26	A422_LOXLA
C0JB27	A423_LOXLA
C0JB28	A424_LOXLA
C0JB29	A43_LOXLA
C0JB30	A71_LOXAR
C0JB31	A611_LOXHI
C0JB32	A612_LOXHI
C0JB33	B1M_SICPE
C0JB34	B1N_SICPE
C0JB35	B1KA_SICPE
C0JB36	B1KB_SICPE
C0JB37	B1LA_SICPE
C0JB38	B1LB_SICPE
C0JB39	B1O_SICTE
C0JB40	B1O_LOXCS
C0JB41	B1S1_LOXSN
C0JB42	B1S2_LOXSN
C0JB43	B1S3_LOXSN
C0JB44	B1T1_LOXSN
C0JB45	B1T2_LOXSN
C0JB46	B1U1_LOXSN
C0JB47	B1U2_LOXSN
C0JB48	B1S_LOXAS
C0JB49	B1R1_LOXSN
C0JB50	B1R2_LOXSN
C0JB51	B1R_LOXAS
C0JB52	B1V_SICPA
C0JB53	B1V_SICPE
C0JB54	B1V_SICTE
C0JB55	B1V_SICCD
C0JB56	B2J1_SICPE
C0JB57	B2J2_SICPE
C0JB58	B2I2_SICPE
C0JB60	B2I1_SICPE
C0JB61	B2I3_SICPE
C0JB62	B2I4_SICPE
C0JB65	B2I5_SICPE
C0JB67	B2H_SICPE
C0JB68	B2H_SICPA
C0JB69	B2I_SICPA
C0JB70	B2J_SICPA
C0JB71	B2KB1_SICCD
C0JB72	B2KB2_SICCD
C0JB73	B2KB3_SICCD
C0JB74	B2KB4_SICCD
C0JB75	B2KB5_SICCD
C0JB76	B2KA1_SICCD
C0JB77	B2KA2_SICCD
C0JB78	B2KA3_SICCD
C0JB79	B2KA4_SICCD
C0JB80	B2KB6_SICCD
C0JB81	B2KB7_SICCD
C0JB82	B2KB8_SICCD
C0JB83	B2KB9_SICCD
C0JB84	B2KBA_SICCD
C0JB85	B2KBB_SICCD
C0JB86	B2KBC_SICCD
C0JB87	B2KBD_SICCD
C0JB88	B2KBE_SICCD
C0JB89	B2L1_SICCD
C0JB90	B2L2_SICCD
C0JB91	B2K_SICAL
C0JB92	B31_LOXSN
C0JB93	B32_LOXSN
C0JB94	B312_LOXSN
C0SJS2	C71AJ_PASSA
C0SJS3	ANGS_PASSA
C1IC45	PA2A2_WALAE
C1IC46	PA2A1_WALAE
C5H5D1	VM31_CRODC
C5H5D4	VM33_BOTAT
D0VWR1	PSBB_THEVL
D0VWR3	PSB30_THEVL
D0VWR7	PSBC_THEVL
D2YW39	SLEC_CALRH
D4YWD0	TPD_PELSA
E5D3Z9	A32B_LOXLA
E7CAU3	SCU1_MESMA
E9LVH8	PETH1_THECS
G1CWH0	CYC1_CLITE
G1CWH4	CYC5_CLITE
G3ESV0	FATB2_CUPVI
G3KIM3	LCDB_ANAPI
G3KIM4	LCDA_ANAPI
H9T8G4	CDIA8_BURPE
K4RNX9	CA1B_CONTE
K7NCP5	SIDN_EPIFI
K9N7B7	OXLA_CRODM
N0AAE6	VAE1_GLOHA
O02467	ASPG_SPOFR
O03515	COX1_APTAU
O03521	COX1_CASBE
O03524	COX1_DRONO
O03539	COX1_NOTPE
O03546	COX1_RHEAM
O03554	COX1_TINMA
O04435	RBL_PERSE
O08593	PDE7A_RAT
O12944	RAD54_CHICK
O13071	HBE_CALGE
O13234	SHH_DEVAE
O13235	SHH_DANAA
O13238	SHH_DANAT
O13241	SHH_DEVDE
O13247	SHH_DEVMA
O13250	SHH_DEVPA
O18750	ENPL_RABIT
O18851	AOFA_SHEEP
O18911	OPSG_ODOVI
O18935	ADA2B_AMBHO
O19012	ADA2B_ERIEU
O19014	ADA2B_ELEMA
O19054	ADA2B_PROHA
O19072	OTC_PIG
O19091	ADA2B_TALEU
O19114	NOS2_RABIT
O19175	KC1A_PIG
O19872	RBL_BIXOR
O19989	RBL_GONAR
O20304	RBL_CASFS
O20346	RBL_CLITE
O24396	PURA_WHEAT
O31411	SACC_BACL7
O34191	CH60_ANAPH
O34194	CH60_EHRCA
O34198	CH60_RICRI
O35439	MOT1_MERUN
O42224	SMO_CHICK
O42295	THA_APTPA
O42398	CAC1S_CHICK
O42412	IOD3_CHICK
O42450	THA_PYGAD
O46634	CD166_CANLF
O46651	CD166_RABIT
O46660	NOS2_MACMU
O62682	FGF8_CANLF
O62970	RBL_GLYEC
O65819	H2B3_SOLLC
O66190	CH60_ENTAS
O66192	CH60_KLUIN
O66194	CH60_PLUGE
O66196	CH60_LELAM
O66202	CH60_SERRU
O66204	CH60_SERFI
O66206	CH60_SERMA
O66210	CH60_KLEOX
O66212	CH60_RAOPL
O66214	CH60_RAOOR
O66218	CH60_PANAN
O66220	CH60_PECCC
O66222	CH60_ERWAP
O70431	ADRB2_MERUN
O73691	EGR1_CHICK
O73692	EGR1_COTJA
O73694	EGR1_SERCA
O73706	CAC1B_CHICK
O73718	TBX3_CHICK
O74660	ALS4_CANAX
O77621	ADA1A_CANLF
O77697	AQP2_AMBHO
O77700	ADA2B_BOVIN
O77714	AQP2_DUGDU
O77721	ADA2B_HORSE
O77722	AQP2_ERIEU
O77740	AQP2_TALEU
O78258	RBL_ABIFI
O78259	RBL_ABIHO
O78260	RBL_ABIVE
O78261	RBL_ABIMR
O78262	RBL_ABISA
O86404	OTC_NEIPE
O88426	NDK6_RAT
O93416	LEP_MELGA
O93474	NTF7_CYPCA
O97578	CATC_CANLF
O97580	SUCB1_PIG
O97581	LHX3_PIG
O98360	RBL_PTYGA
O98664	RBL_KIGAF
O98668	RBL_PANJS
O98671	RBL_TECST
O98681	RBL_ZAMZA
O98890	RBL_HALCL
O99000	RBL_ADEOB
O99001	RBL_BEAGR
P00368	DHE3_CHICK
P00906	TRPG_SHIDY
P01010	A1AT_PAPAN
P01030	CO4_BOVIN
P01176	NEU1_HORSE
P01181	NEU2_SHEEP
P01184	NEU2_BALPH
P01197	COLI_SQUAC
P01284	VIP_PIG
P01304	NPY_PIG
P01359	TFF2_PIG
P01495	SCX2_CENNO
P02280	H2B_CRONI
P02553	TBA_LYTPI
P02678	FIBB_PETMA
P02704	COLA_HORSE
P02705	COLB_HORSE
P03343	GAG_MMTVG
P03373	GAG_AVIER
P03387	ENV_MSVFB
P03392	ENV_FSVST
P03395	ENV_MLVFR
P03441	HEMA_I79A0
P03444	HEMA_I53A0
P03445	HEMA_I76AH
P03447	HEMA_I75A1
P03450	HEMA_I57A4
P03461	HEMA_INBMD
P03462	HEMA_INBHK
P03479	NRAM_I76A1
P03481	NRAM_I78A0
P03955	PEPC_MACFU
P04026	POL_IPHA
P04159	CB21_PEA
P04193	DCHS_LENBU
P04231	HB23_MOUSE
P04322	GAG_FSVHZ
P04365	IATR_HORSE
P04460	MYH6_RABIT
P04461	MYH7_RABIT
P04462	MYH8_RAT
P04502	ENV_MLVKI
P04566	VIP_CAVPO
P04612	TAT_HV1B5
P04659	HEMA_I60A1
P04660	HEMA_I78AE
P04662	HEMA_I75A5
P04663	HEMA_I70A0
P04664	HEMA_I69A0
P05421	DEM2_PHYSA
P05899	VIF_HV1SC
P06297	COLI_RABIT
P06341	HB2A_RAT
P06431	NS1_FPV
P06595	PHYA5_AVESA
P06640	HBA2_PLEWA
P07420	HBB_DASVI
P07916	ELN_CHICK
P07966	HEMA_INCP3
P07967	HEMA_INCP2
P07968	HEMA_INCP1
P07970	HEMA_INCMI
P07971	HEMA_INCGL
P07973	HEMA_INCEN
P07974	HEMA_INCTA
P07977	HEMA_I83A6
P08221	CB21_CUCSA
P08552	NFM_PIG
P08712	ENPL_MESAU
P08943	THNB_VISAL
P09575	TRPG_PICAN
P09634	HXA7_RAT
P09642	TBA3_CHICK
P09643	TBA4_CHICK
P09645	TBA8_CHICK
